id,alpha,beta,characteristic_time,emotion_bias,racial_bias,distractor_bias,emotion_amplification_bias,eta,eta_r,tau,X^2,bic
34.0,0.25106941177159775,0.3944278358635091,0.1887488361155863,0.0617431820662245,-0.032761863341182085,-0.17398276986021213,0.08244939040414827,0.14947695638015412,-3.0060814164079632,0.4094775025618149,505.56217234240665,8456.445131079225
35.0,0.35369307903567876,0.38819825786898365,0.649184884057737,-0.3458092467049714,0.07991011031315107,0.02816971259502826,0.01571508107853444,-0.0536489888593724,-4.59910686838133,0.39797416708307864,746.711108818766,8069.133351324764
36.0,0.2808411599834305,0.3849338647393039,0.29775974430273977,0.33892987101562033,0.04836045477510935,0.10619637683829874,-0.3036026482043249,0.44287875796669507,-0.8238535935639746,0.41555915342435534,681.1258868412126,8880.63855339038
37.0,0.37967401454841265,0.2923882909164648,0.23166591432567207,-0.23486050934779207,0.08747321249336651,-0.37973773313852277,0.3540198192174897,0.055329929418566653,-2.4112335922846286,0.4418640423787139,834.2613321974316,8893.762597703499
38.0,0.3784425109125075,0.391743930235692,0.6629298157745934,-0.32302265484435905,-0.10922382073488711,0.36037461934276277,-0.3121996602828695,0.17420652967320027,-2.028107241115649,0.43698560408892373,497.2469063378191,7849.9351389338735
39.0,0.3797621161281787,0.40930377174265914,0.5819541148377907,-0.24184383086573777,0.16451397146729563,-0.3418045032942889,0.0686968744330124,0.3129261061002664,-0.9089076769256692,0.44042494651838293,682.9011318736256,8370.92623510322
40.0,0.28882890314659926,0.3962767026341259,0.5392556641061308,-0.282312097872912,0.10184862932606036,0.11691273539570633,-0.0478182094364193,0.2047896092210445,-2.953713641714692,0.44180519443834665,524.3925076836384,8308.272972532848
41.0,0.36890503460358637,0.46911404817781543,0.5321088830272234,0.2598399221711052,0.16010467050561983,0.22402552349559374,-0.31008203759669284,0.36535048195402176,-1.1679501194933022,0.44874377416776395,588.7163910225528,8106.171222295406
42.0,0.3106770685553623,0.324337680265242,0.7003525012018477,-0.3396070347633395,0.07993655477758436,0.3645664541063852,0.015656064023670948,0.07797502470753787,-3.6359316903739582,0.3986752736367754,725.3550959870134,8078.876903210546
43.0,0.2093971147336206,0.2910053069498161,0.7573933223295304,-0.27079802562809197,0.09055657334133072,0.31409847307770833,-0.3144914287708313,0.13167342761814294,-2.148971731633403,0.4456810224563047,515.6448154299693,8292.638802441115
44.0,0.2842845331360175,0.5192884272367808,0.511117192300022,-0.02902131775097629,0.35104323280829863,0.3611387159701319,-0.33295339477101965,0.24560333426080838,-0.2644804365299708,0.43944328427196316,407.4939827509323,7615.365160341771
45.0,0.241958738099158,0.4479700533761619,0.9133906270459411,0.036236609887159515,-0.020297824123502083,0.2809586796384119,-0.2413915679584009,0.17428119540178488,-2.3371145950485883,0.418206419910807,511.8415191256872,8073.162210010351
46.0,0.3774533405353011,0.23678085902804827,0.9862106284489329,0.09531542433634957,0.11199327950899007,0.3590616834774968,-0.37795354371323975,0.06738556055517575,-2.4930840674071755,0.439605609412191,1315.81115538193,8905.707268056363
47.0,0.37997626775860194,0.26487562820906374,0.297158034440319,-0.13964547881484932,0.14341639950533014,-0.37825380240747797,0.3341870413393574,0.21932994327555239,-1.7178223453167871,0.44992209833965974,1836.0600968333945,10324.018816229585
49.0,0.3703294437463567,0.4334030144641282,0.37724218887502425,-0.12230328242109367,0.01777991528845852,-0.17697505950809483,0.2634603313903377,0.2738626175321884,-0.8873059285421996,0.4466090298740162,740.5604173463065,8181.600724931507
50.0,0.3791972367236087,0.3445474087729403,0.23212520488185281,-0.07007566603408732,-0.06245325782895819,-0.37549826401596675,0.36054631027402656,0.212640786377424,-0.9556468433128319,0.4233971952399196,806.437778054434,8634.534076844904
51.0,0.3778541366489334,0.3268038682251049,0.9944755853491856,-0.2002853829971839,-0.016656938428994034,0.35294081835799274,-0.07559621153149308,0.1656878026191625,-1.9587013192046876,0.4285693280350229,1022.9737389291781,9066.778042007392
52.0,0.3775292934245572,0.354271799813612,0.7657772439322053,-0.22954521316495863,0.05440151821247162,0.30632445044413054,-0.015361094544196072,0.23360525286319508,-0.9043195437963752,0.4053987225775375,691.4304444823775,8091.835312328516
53.0,0.3763832311659669,0.4477860249647279,0.3167018370144143,-0.17115563283512558,0.012719961542507398,-0.34736487402479294,0.3142251034494682,0.16759579147975256,-1.7034844783010228,0.44884765839539553,875.6530895941755,9081.081309495567
55.0,0.12400409476606246,0.3440292380803611,0.9296472348622957,0.04015191391410228,-0.006470086221798675,0.29463947864612106,-0.32506325760490373,-0.03634170221805977,-4.361928181248756,0.3762152915250505,978.9305884338027,8591.973686209518
56.0,0.3790220441406408,0.3876330984163116,0.20103911342489855,-0.060911198839409986,0.025857888635317745,-0.3701206587331334,0.2505577320803216,0.273897645756513,-0.9376714836265432,0.4027782844757664,710.5813036797108,8617.870600313707
59.0,0.352319603025963,0.41236437412017474,0.7094301974905887,-0.15234253651443394,-0.1601378305048989,0.3774268502231908,-0.04550818108890954,0.31920144539483153,-1.1413108912982022,0.44285079285443885,724.1073080861846,8386.610019955393
60.0,0.37402196886036554,0.425302151090196,0.22095782495762917,-0.1940866016765231,-0.1718449756755514,-0.3700595500729809,0.3792196628320498,0.4608267673866553,-1.1579169813565797,0.43533138009133476,1015.1405952901283,9468.289897381976
61.0,0.21374153243457078,0.3350218954025555,0.1119856172559979,0.32884009411741844,-0.11439580424937326,-0.37362936034267336,0.2735178938945172,0.1515018241391962,-4.289287690974476,0.43987555135851175,630.1254778882156,8574.484156940389
63.0,0.37847507224892696,0.5132237726637259,0.6955346476181736,0.2528000936412922,-0.21157746613451975,0.32915804406049287,-0.3426695378263957,0.43481358904877815,-0.6734151576820734,0.39787610267924667,873.4073532130008,9174.766804773548
64.0,0.3537538796360366,0.3537682855225701,0.7714631069559366,-0.3386067142831745,0.2618256528462024,0.37719571660405293,-0.17255399375685881,-0.0032481664604513683,-4.828281039877314,0.4432744249256725,848.046983749293,8406.906066489422
65.0,0.3799683291297784,0.013019856693623197,0.31355262689929864,-0.21919952098508833,0.05584704600785528,-0.3791655476692693,0.32597244364810013,-0.4178918895080139,-4.077976745792322,0.4464282748790276,2293.7639754735706,10806.99055278153
66.0,0.35474390866333383,0.35103768970572824,0.9760875744708366,-0.26852110954646957,0.2403744329333913,0.3301281049196888,-0.30807582008382106,-0.0040932663614656655,-3.5617979745901045,0.43877293070539053,893.9280579874006,8498.867096823158
67.0,0.3784254691138852,0.36068725202303514,0.2595601113333481,0.0023083210690934396,-0.051291467802793346,-0.3665752358874752,0.2551014238635633,0.23713341895405304,-1.7838681766945736,0.4469843925210059,741.1989399646011,8982.474269242273
68.0,0.34493445251610955,0.5126742263180445,0.6957533132773558,0.3274343769324005,-0.1359395529544803,0.34584116478690785,-0.2638294813838472,0.197862140951348,-2.144514569188604,0.41597642372823995,509.84356639210625,7833.5630147670245
69.0,0.3784259453105028,0.38435359240522987,0.9896683050418136,0.12336540670352666,-0.010130695680557729,0.3790298731592691,-0.25600267734832305,0.07292671896987002,-2.557037685195907,0.4484410554456869,718.3305846599812,8252.385905340847
70.0,0.29574709726237025,0.2685033523155512,0.8576385205422024,-0.35322812803602277,0.26187229244309584,-0.015048743305463012,-0.24579075235390113,0.31615896519627146,-2.0769461745066566,0.44646514194814824,664.5155669570945,8811.540298417363
72.0,0.2371554457451142,0.3383619896988452,0.6784949588386937,-0.13467807277651309,0.2233757825285767,0.3799218727269467,-0.24804041849693842,0.13518374916498432,-2.8343631464462815,0.442837226427221,845.3065858468574,8409.27635972716
73.0,0.2710346992358478,0.46607977200477513,0.5834831145016196,0.35631104415919135,0.3475247357106115,0.14905120557459453,-0.16784187588327426,0.016782034323246126,-4.617548581224643,0.379676158330008,816.8787673082174,8314.073594299847
75.0,0.3796400392860947,0.3035412407727349,0.21933570180262263,0.09132096157978475,-0.04612957793039436,-0.37794570780999037,0.3248505518147313,0.1518828312499303,-2.8655345301476154,0.4450313405575092,1060.7897845050113,9239.185870901962
76.0,0.37921723913622096,0.09686643907436626,0.3188027928586003,-0.2292299001876768,0.05111828946757865,-0.37774360146597463,0.37128762743143456,-0.09564653751116181,-2.979209782891929,0.44431185711988824,1865.385490761242,10697.15819208302
77.0,0.3648408453851151,0.4418026980254116,0.946604818952189,-0.05964703610959232,-0.010098277970075557,0.3673907248618792,-0.14717373141374052,0.024641577714657505,-4.264855191335196,0.4443002256506113,503.2241521610712,8116.267249936784
78.0,0.37777086892053224,0.43576171817734016,0.1797620505349457,0.08148187661987534,0.02262892180135121,-0.37974264323996887,0.22132189569613406,0.3649571313921802,-0.7465247651527795,0.4495172300766368,767.5353670402287,8714.049981001772
80.0,0.37786405074471907,0.2180732128235832,0.9392568323893615,0.07362012648312835,-0.10537621270285302,0.3787143820590635,-0.3389036961217595,0.12789275097036742,-2.066095365077883,0.4363964571027187,956.8232879243275,8804.46700832353
